text,label,disaster_score,damage_score,literal_score,urgency_score,disaster_raw_output,damage_raw_output,literal_raw_output,urgency_raw_output,mean_score,pred_label,correct,fold
"Communal violence in Bhainsa, Telangana. ""Stones were pelted on Muslims' houses and some houses and vehicles were set ablaze…",1,0,0,0,0,0,0,0,0,0.0,0,0,1
No cows today but our local factory is sadly still ablaze #REDJanuary2020 https://t.co/CMyuKzrcKz,1,0,0,0,0,0,0,0,0,0.0,0,0,1
French cameroun set houses ablaze in Ndu and roasted two young boys in their homes in #targeted killings in a #GenocideInSou…,1,0,0,0,0,0,0,0,0,0.0,0,0,1
As fires ablaze throughout the land/as the prophosized apocalypse comes to fruition/not a building standing/as we all come st…,1,0,0,0,0,0,0,0,0,0.0,0,0,1
Originally they were intended to be fired at boarders or the opposing ship's crew from gunners in the ships's riggi… https://t.co/z5vPwuyBCL,1,0,0,0,0,0,0,0,0,0.0,0,0,1
"Another arson in Njikom,Boyo,NWR. The ambazombies yesterday 13/1/2020 set ablaze the Council building. Which country in the wo…",1,0,0,0,0,0,0,0,0,0.0,0,0,1
How can you turn a blind eye to the icident of setting ablaze more than 50 houses of H… https://t.co/UD84oQxg9K,1,0,0,0,0,0,0,0,0,0.0,0,0,1
"#WATCH Former CM Akhilesh Yadav who went to meet injured of Kannauj accident, at a hospital in Chhibramau asks Emergency Med…",1,0,0,0,0,0,0,0,0,0.0,0,0,1
#Preorder #newrelease today! 12 witnesses connected to or investigating #THENUTCRACKERCONSPIRACY have died either in a…,1,0,0,0,0,0,0,0,0,0.0,0,0,1
MLINDO THE VOCALIST IN ANOTHER CAR ACCIDENT https://t.co/BXR9rEgAk6,1,0,0,0,0,0,0,0,0,0.0,0,0,1
The Kampala Metropolitan East has in custody two suspects who allegedly strangled to death a passenger… https://t.co/9v77Vm51vw,1,0,0,0,0,0,0,0,0,0.0,0,0,1
Iran Says That They Shot Down Ukraine International Flight 172 By Accident. Here is an Picture of that Aircraft in… https://t.co/COdnYq77uZ,1,0,0,0,0,0,0,0,0,0.0,0,0,1
Puerto Rico hit by another 5.9 magnitude aftershock - KYMA https://t.co/SF2wBVd5me,1,0,0,0,0,0,0,0,0,0.0,0,0,1
"Good Night my friends, As per USGS, the new 5.9 quake in this morning caused the 7-day aftershock forecast to change.…",1,0,0,0,0,0,0,0,0,0.0,0,0,1
Puerto Rico hit by another 5.9 magnitude aftershock - KYMA https://t.co/vRAdkSZaLn,1,0,0,0,0,0,0,0,0,0.0,0,0,1
Puerto Rico hit by another 5.9 magnitude aftershock - KYMA https://t.co/P9Th3vpTak,1,0,0,0,0,0,0,0,0,0.0,0,0,1
The magnitude 5.9 quake in #PuertoRico this morning caused our 7-day aftershock forecast to change. We now estimate an increased…,1,0,0,0,0,0,0,0,0,0.0,0,0,1
"Several houses have been set ablaze in Ngemsibaa village, Oku sub division in the North West Region of Cameroon by… https://t.co/99uHGAzxy2",1,0,0,0,0,0,0,0,0,0.0,0,0,2
Asansol: A BJP office in Salanpur village was set ablaze last night. BJP has alleged that TMC is behind the incident. Police has b…,1,0,0,0,0,0,0,0,0,0.0,0,0,2
Images showing the havoc caused by the #Cameroon military as they torched houses in #Oku.The shameless military is reported…,1,0,0,0,0,0,0,0,0,0.0,0,0,2
Hausa youths set Area Office of Apapa-Iganmu Local Council Development Area ablaze. Okada Riders stormed the LG area office…,1,0,0,0,0,0,0,0,0,0.0,0,0,2
Under #MamataBanerjee political violence &amp; vandalism continues to unabated in West Bengal! office in Asanol was…,1,0,0,0,0,0,0,0,0,0.0,0,0,2
Images showing the havoc caused by the #Cameroon military as they torched houses in #Oku.The shameless military is… https://t.co/gIwZCH533D,1,0,0,0,0,0,0,0,0,0.0,0,0,2
RT! Prince Harry just confirmed that his mother’s (Princess Diana) death was not an accident! https://t.co/1ADe3uZ3eR,1,0,0,0,0,0,0,0,0,0.0,0,0,2
My friend (an army) just lost her father in an accident and her mom right now is still unconscious. Please pray for her mo…,1,0,0,0,0,0,0,0,0,0.0,0,0,2
An auto accident injury can set a process in motion that can get complicated. Find out how long it takes to settle… https://t.co/GQp5tv03dF,1,0,0,0,0,0,0,0,0,0.0,0,0,2
"The speeding car rammed into a group of people, who were returning after attending a temple festival of Ayyappan Ka… https://t.co/e3bBlaVDDA",1,0,0,0,0,0,0,0,0,0.0,0,0,2
3.6 aftershock at 4:05 am. I was asleep and the movement of my bed woke me up. Not so scary but I wish they weren't… https://t.co/LA2mwCLXhf,1,0,0,0,0,0,0,0,0,0.0,0,0,2
Puerto Rico hit by another 5.9 magnitude aftershock - KYMA https://t.co/rrTNTMA8NR,1,0,0,0,0,0,0,0,0,0.0,0,0,2
Puerto Rico hit by another 5.9 magnitude aftershock - KYMA https://t.co/MMxXzwBpaF,1,0,0,0,0,0,0,0,0,0.0,0,0,2
Puerto Rico hit by another 5.9 magnitude aftershock - KYMA https://t.co/lRTLlbB9TV,1,0,0,0,0,0,0,0,0,0.0,0,0,2
"An M4+~M5+ aftershock happens within 15 days after an M5+~M6+ main shock. If you can predict it, then you can say it is an…",1,0,0,0,0,0,0,0,0,0.0,0,0,2
Another 6.0 aftershock has hit Puerto Rico after last night. People cannot go home if they even have one. They have no po…,1,0,0,0,0,0,0,0,0,0.0,0,0,2
"Telangana: Section 144 has been imposed in Bhainsa from January 13 to 15, after clash erupted between two groups on January 12. Po…",1,0,0,0,0,0,0,0,0,0.0,0,0,3
Arsonist sets cars ablaze at dealership https://t.co/gOQvyJbpVI,1,0,0,0,0,0,0,0,0,0.0,0,0,3
Arsonist sets cars ablaze at dealership https://t.co/0gL7NUCPlb https://t.co/u1CcBhOWh9,1,0,0,0,0,0,0,0,0,0.0,0,0,3
Cameroon's #BIR soldiers on the 05/01/2020 invaded the #SouthernCameroons Village of Kimar - So setting ablaze a total of…,1,0,0,0,0,0,0,0,0,0.0,0,0,3
"Another public market in #Haiti mysteriously set ablaze. The independent merchants, who are overwhelmingly women, become…",1,0,0,0,0,0,0,0,0,0.0,0,0,3
"Marivan, Kurdistan Province Monday, Jan 13th, 2020 Protesters set the propaganda banner of #QassemSoleimani ablaze. #I…",1,0,0,0,0,0,0,0,0,0.0,0,0,3
"Marivan, Kurdistan Province Monday, Jan 13th, 2020 Protesters set the propaganda banner of #QassemSoleimani ablaze… https://t.co/IVGCYJZlmK",1,0,0,0,0,0,0,0,0,0.0,0,0,3
"The speeding car rammed into a group of people, who were returning after attending a temple festival of Ayyappan Kavu in Thum…",1,0,0,0,0,0,0,0,0,0.0,0,0,3
David Cameron’s decision to hold a referendum expressed in the medium of a road traffic accident. https://t.co/XATYHFtXoa,1,0,0,0,0,0,0,0,0,0.0,0,0,3
Saw this truck with the container almost falling off this morning. Reported…,1,0,0,0,0,0,0,0,0,0.0,0,0,3
A quick comparison of the ongoing 2020 M6.4 Puerto Rico earthquake sequence and the 2003 M6.5 Central California sequenc…,1,0,0,0,0,0,0,0,0,0.0,0,0,3
"Why are Puerto Ricans refusing to go home? Aside from the 5.4 aftershock just now, the ground in southwest Puerto Rico has…",1,0,0,0,0,0,0,0,0,0.0,0,0,3
Puerto Rico hit by another 5.9 magnitude aftershock - KYMA https://t.co/wW3CdsvDV2,1,0,0,0,0,0,0,0,0,0.0,0,0,3
Darkake(7 yeek possessor) was killed by possession aftershock on Ritches Tunnels 2. https://t.co/AZoiZicsDe,1,0,0,0,0,0,0,0,0,0.0,0,0,3
"Over the weekend, Puerto Rico was struck by a 5.9 aftershock, causing more damage to homes and schools and leaving thou…",1,0,0,0,0,0,0,0,0,0.0,0,0,3
Like Iran shooting an airplane was an accident,1,0,0,0,0,0,0,0,0,0.0,0,0,3
