text,label,disaster_score,damage_score,literal_score,urgency_score,disaster_raw_output,damage_raw_output,literal_raw_output,urgency_raw_output,mean_score
"Communal violence in Bhainsa, Telangana. ""Stones were pelted on Muslims' houses and some houses and vehicles were set ablaze…",1,0,0,0,0,0,0,0,0,0.0
"Telangana: Section 144 has been imposed in Bhainsa from January 13 to 15, after clash erupted between two groups on January 12. Po…",1,0,0,0,0,0,0,0,0,0.0
Arsonist sets cars ablaze at dealership https://t.co/gOQvyJbpVI,1,0,0,0,0,0,0,0,0,0.0
Arsonist sets cars ablaze at dealership https://t.co/0gL7NUCPlb https://t.co/u1CcBhOWh9,1,0,0,0,0,0,0,0,0,0.0
"""Lord Jesus, your love brings freedom and pardon. Fill me with your Holy Spirit and set my heart ablaze with your l… https://t.co/VlTznnPNi8",0,0,0,0,0,0,0,0,0,0.0
"If this child was Chinese, this tweet would have gone viral. Social media would be ablaze. SNL would have made a racist j…",0,0,0,0,0,0,0,0,0,0.0
"Several houses have been set ablaze in Ngemsibaa village, Oku sub division in the North West Region of Cameroon by… https://t.co/99uHGAzxy2",1,0,0,0,0,0,0,0,0,0.0
Asansol: A BJP office in Salanpur village was set ablaze last night. BJP has alleged that TMC is behind the incident. Police has b…,1,0,0,0,0,0,0,0,0,0.0
"National Security Minister, Kan Dapaah's side chic has set the internet ablaze with her latest powerful video.… https://t.co/rhzOMQVSlj",0,0,0,0,0,0,0,0,0,0.0
This creature who’s soul is no longer clarent but blue ablaze This thing Carrying memories Memories of… https://t.co/tBKSNDrDoX,0,0,0,0,0,0,0,0,0,0.0
Images showing the havoc caused by the #Cameroon military as they torched houses in #Oku.The shameless military is reported…,1,0,0,0,0,0,0,0,0,0.0
Social media went bananas after Chuba Hubbard announced Monday evening his plans to return to #okstate. https://t.co/peN…,0,0,0,0,0,0,0,0,0,0.0
Hausa youths set Area Office of Apapa-Iganmu Local Council Development Area ablaze. Okada Riders stormed the LG area office…,1,0,0,0,0,0,0,0,0,0.0
Under #MamataBanerjee political violence &amp; vandalism continues to unabated in West Bengal! office in Asanol was…,1,0,0,0,0,0,0,0,0,0.0
"AMEN! Set the whole system ablaze, man. https://t.co/J08xHDcGbD",0,0,0,0,0,0,0,0,0,0.0
Images showing the havoc caused by the #Cameroon military as they torched houses in #Oku.The shameless military is… https://t.co/gIwZCH533D,1,0,0,0,0,0,0,0,0,0.0
No cows today but our local factory is sadly still ablaze #REDJanuary2020 https://t.co/CMyuKzrcKz,1,0,0,0,0,0,0,0,0,0.0
Rengoku sets my heart ablaze😔❤️🔥 P.s. I missed this style of coloring I do so here it is c: #鬼滅の刃 https://t.co/YrUF9g68s0,0,0,0,0,0,0,0,0,0,0.0
paulzizkaphoto: “Rundle Ablaze” Wishing you all a good evening... https://t.co/d0NlME1HQz https://t.co/hlVlT6qiIp,0,0,0,0,0,0,0,0,0,0.0
French cameroun set houses ablaze in Ndu and roasted two young boys in their homes in #targeted killings in a #GenocideInSou…,1,0,0,0,0,0,0,0,0,0.0
Cameroon's #BIR soldiers on the 05/01/2020 invaded the #SouthernCameroons Village of Kimar - So setting ablaze a total of…,1,0,0,0,0,0,0,0,0,0.0
As fires ablaze throughout the land/as the prophosized apocalypse comes to fruition/not a building standing/as we all come st…,1,0,0,0,0,0,0,0,0,0.0
"#ThankfulTuesday Isaiah 43:2 When you pass through the waters, I will be with you; and when you pass through the r… https://t.co/jEp3L1oU36",0,0,0,0,0,0,0,0,0,0.0
"⠀⠀When you walk through the fire, ⠀⠀you will not be scorched, and the ⠀⠀flames will not set you ablaze. ──── product…",0,0,0,0,0,0,0,0,0,0.0
Originally they were intended to be fired at boarders or the opposing ship's crew from gunners in the ships's riggi… https://t.co/z5vPwuyBCL,1,0,0,0,0,0,0,0,0,0.0
Warm greetings to all on the occasion of #Lohri. As winter passes by may everyone's woes and troubles be set ablaze in t…,0,0,0,0,0,0,0,0,0,0.0
"Another arson in Njikom,Boyo,NWR. The ambazombies yesterday 13/1/2020 set ablaze the Council building. Which country in the wo…",1,0,0,0,0,0,0,0,0,0.0
"Another public market in #Haiti mysteriously set ablaze. The independent merchants, who are overwhelmingly women, become…",1,0,0,0,0,0,0,0,0,0.0
that is kind true sadly,0,0,0,0,0,0,0,0,0,0.0
I swear that jam will set the world ablaze,0,0,0,0,0,0,0,0,0,0.0
"Marivan, Kurdistan Province Monday, Jan 13th, 2020 Protesters set the propaganda banner of #QassemSoleimani ablaze. #I…",1,0,0,0,0,0,0,0,0,0.0
"Marivan, Kurdistan Province Monday, Jan 13th, 2020 Protesters set the propaganda banner of #QassemSoleimani ablaze… https://t.co/IVGCYJZlmK",1,0,0,0,0,0,0,0,0,0.0
How can you turn a blind eye to the icident of setting ablaze more than 50 houses of H… https://t.co/UD84oQxg9K,1,0,0,0,0,0,0,0,0,0.0
"This love is so completely crazy. You've been fucking with my dreams, ripped me like your torn up jeans. I don't ev… https://t.co/GCVYW5eZkb",0,0,0,0,0,0,0,0,0,0.0
Terms in A Demon Burning Dark: The Ruined: People who cannot use magic or interact with it without some harm or ac… https://t.co/ZEDawOfuu4,0,0,0,0,0,0,0,0,0,0.0
"📷 Heartfelt appreciation to Prime Minister YAB Tun Dr. wife, YABhg. Tun Dr. Siti Hasmah Mohd Ali fo… https://t.co/YOwUp1BYUP",0,0,0,0,0,0,0,0,0,0.0
"#WATCH Former CM Akhilesh Yadav who went to meet injured of Kannauj accident, at a hospital in Chhibramau asks Emergency Med…",1,0,0,0,0,0,0,0,0,0.0
❤️❤️❤️ he gave us everything... He had a horrible foot infection once so wore one thong… https://t.co/mA9sFl6Shw,0,0,0,0,0,0,0,0,0,0.0
"😁yeah! His new swag is on point 100%, since the accident! Like this is a totally transformed Bob…",0,0,0,0,0,0,0,0,0,0.0
"This is cool and all these days I have been doing ""git push origin CURRENT_BRANCH_NAME"". You know that… https://t.co/mr0YAGEWqj",0,0,0,0,0,0,0,0,0,0.0
#Preorder #newrelease today! 12 witnesses connected to or investigating #THENUTCRACKERCONSPIRACY have died either in a…,1,0,0,0,0,0,0,0,0,0.0
my back and neck are still fucked up from the accident 😡😡😭😭,0,0,0,0,0,0,0,0,0,0.0
RT! Prince Harry just confirmed that his mother’s (Princess Diana) death was not an accident! https://t.co/1ADe3uZ3eR,1,0,0,0,0,0,0,0,0,0.0
Note to Democrats: It’s not a Muslim ban. Islam is not a race. Soleimani was a terrorist &amp; was exterminated not assas…,0,0,0,0,0,0,0,0,0,0.0
Juwan Johnson/Oregon is one big dude. Looks like a tight end stuck in the receiver group by accident.,0,0,0,0,0,0,0,0,0,0.0
More appearances of the man with the upside-down face. A New Year’s Eve party at an Air Force base in 1943 where a man…,0,0,0,0,0,0,0,0,0,0.0
"The speeding car rammed into a group of people, who were returning after attending a temple festival of Ayyappan Kavu in Thum…",1,0,0,0,0,0,0,0,0,0.0
My friend (an army) just lost her father in an accident and her mom right now is still unconscious. Please pray for her mo…,1,0,0,0,0,0,0,0,0,0.0
MLINDO THE VOCALIST IN ANOTHER CAR ACCIDENT https://t.co/BXR9rEgAk6,1,0,0,0,0,0,0,0,0,0.0
"“There are no greater treasures than the highest human qualities such as compassion, courage and hope. Not even tragic accide…",0,0,0,0,0,0,0,0,0,0.0
Please help our friends in - they have had a non fault accident that's resulted in their vehicle being writte…,0,0,0,0,0,0,0,0,0,0.0
When you hurt your younger sibling by “accident” https://t.co/DAMTEoQtZU,0,0,0,0,0,0,0,0,0,0.0
David Cameron’s decision to hold a referendum expressed in the medium of a road traffic accident. https://t.co/XATYHFtXoa,1,0,0,0,0,0,0,0,0,0.0
An auto accident injury can set a process in motion that can get complicated. Find out how long it takes to settle… https://t.co/GQp5tv03dF,1,0,0,0,0,0,0,0,0,0.0
no one has the right to call a baby an accident. jd himself called it a blessing. he used the loveliest word to describe what…,0,0,0,0,0,0,0,0,0,0.0
I actually posted this by accident to twitter but have decided this can stay,0,0,0,0,0,0,0,0,0,0.0
Question: let’s say you are happily married and your husband dies in a tragic accident. You are deveststed but this pussy not…,0,0,0,0,0,0,0,0,0,0.0
The Kampala Metropolitan East has in custody two suspects who allegedly strangled to death a passenger… https://t.co/9v77Vm51vw,1,0,0,0,0,0,0,0,0,0.0
"In completely available public information , the fires were mostly started by humans on purpose or on accident with th…",0,0,0,0,0,0,0,0,0,0.0
During my PhD there was a colleague who went out of her way to bully and cause work discomfort for me. I… https://t.co/G3hivXZo8T,0,0,0,0,0,0,0,0,0,0.0
